"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72461102506202521707_id.ret"
""
"Cadastrado título novo: 9000008643 3646 - MAGAZINE LUIZA S.A. 31/07/2025 RG 1180,93 0"
"Pago título: 2500000056 62 - GKN SINTER METALS LTDA 30/06/2025 LQ 2713,05 2713,05"
"Pago título: 2500000103 1426 - WEIDPLAS BRASIL INDU 30/06/2025 LQ 1458,87 1458,87"
"Pago título: 2500000216 7753 - POUSADA RECANTO DO T 30/06/2025 LQ 585,53 585,53"
"Pago título: 2500000221 3470 - ASSOCIACAO KR JUNDIA 30/06/2025 LQ 560,51 560,51"
"Pago título: 2500000431 1424 - THORNTON ELETRONICA 30/06/2025 LQ 319,2 319,2"
"Pago título: 2500000493 341 - DIP S HOTEL LTDA ME 30/06/2025 LQ 292,77 292,77"
"Pago título: 2500000555 936 - RIP  SERVICOS INDUSTR 30/06/2025 LQ 278,53 278,53"
"Pago título: 2500000650 139 - RIO EMPREENDIMENTOS I 30/06/2025 LQ 247,39 247,39"
"Pago título: 2500000651 2654 - CERAMICA SANTA TEREZ 30/06/2025 LQ 246,4 246,4"
"Pago título: 2500000788 1010 - CONDOMINIO INDUSTRIA 30/06/2025 LQ 207,54 207,54"
"Pago título: 2500000807 3736 - C L A  CENTRO LOGIST 30/06/2025 LQ 196,99 196,99"
"Pago título: 2500000815 42 - SOCIEDADE ALPHAVILLE C 30/06/2025 LQ 193,62 193,62"
"Pago título: 2500000960 3117 - ASSOCIACAO DE EDUCAC 30/06/2025 LQ 131,39 131,39"
"Pago título: 2500000974 2715 - CONDOMINIO EDIFICIO 30/06/2025 LQ 118,35 118,35"
"Pago título: 2500000984 3790 - RIO EMPREENDIMENTOS 30/06/2025 LQ 109,36 109,36"
"Pago título: 2500001163 5947 - SERVICO SOCIAL DO CO 30/06/2025 LQ 264,23 264,23"
"Pago título: 2500001365 4279 - BOREALIS BRASIL SA 30/06/2025 LQ 219,57 219,57"
"Pago título: 2500001453 1008 - CONDOMINIO RESIDENCI 30/06/2025 LQ 212,4 212,4"
"Pago título: 2500001822 4523 - ASSOCIACAO DOS PROPR 30/06/2025 LQ 223,96 223,96"
"Pago título: 2500001843 1838 - MARGARETH CASTILHO D 30/06/2025 LQ 219,81 219,81"
"Pago título: 2500001879 3244 - PLANMAR INDUSTRIA E 30/06/2025 LQ 218,96 218,96"
"Pago título: 2500001891 6886 - CONDOMINIO RESIDENCI 30/06/2025 LQ 217,52 217,52"
"Pago título: 2500002186 3733 - ASSOC PROPRIETARIOS 30/06/2025 LQ 219,56 219,56"
"Pago título: 2500002410 3415 - CONDOMINIO EDIFICIO 30/06/2025 LQ 202,51 202,51"
"Pago título: 2500002483 302 - TEXTIL IRINEU MENEGHE 30/06/2025 LQ 234,31 234,31"
"Pago título: 2500003223 5616 - TRADECORP DO BRASIL 30/06/2025 LQ 201,52 201,52"
"Pago título: 2500003406 942 - RAIZEN ENERGIA SA 30/06/2025 LQ 24342,11 24342,11"
"Pago título: 2500003462 1695 - GOODYEAR DO BRASIL P 30/06/2025 LQ 14585,69 14585,69"
"Pago título: 2500003812 941 - RAIZEN ENERGIA SA 30/06/2025 LQ 2841,72 2841,72"
"Pago título: 2500003833 2385 - SOLENIS ESPECIALIDAD 30/06/2025 LQ 2761,5 2761,5"
"Pago título: 2500003889 7773 - RAIZENGEO BIOGAS COS 30/06/2025 LQ 2488,18 2488,18"
"Pago título: 2500004064 7913 - QUIMICOS E SOLUCOES 30/06/2025 LQ 1940,48 1940,48"
"Pago título: 2500004225 41 - UNILEVER BRASIL GELADO 30/06/2025 LQ 1546,3 1546,3"
"Pago título: 2500004226 41 - UNILEVER BRASIL GELADO 31/07/2025 LQ 1546,31 1546,31"
"Pago título: 2500004227 41 - UNILEVER BRASIL GELADO 29/08/2025 LQ 1546,31 1546,31"
"Pago título: 2500004228 41 - UNILEVER BRASIL GELADO 30/09/2025 LQ 1546,31 1546,31"
"Pago título: 2500004229 41 - UNILEVER BRASIL GELADO 31/10/2025 LQ 1546,31 1546,31"
"Pago título: 2500004230 41 - UNILEVER BRASIL GELADO 28/11/2025 LQ 1546,31 1546,31"
"Pago título: 2500004231 41 - UNILEVER BRASIL GELADO 19/12/2025 LQ 1546,31 1546,31"
"Pago título: 2500004393 3462 - CONDOMINIO EMPRESARI 30/06/2025 LQ 1236,21 1236,21"
"Pago título: 2500004596 892 - A AZEVEDO INDUSTRIA E 30/06/2025 LQ 1024,03 1024,03"
"Pago título: 2500004736 558 - CONDOMINIO CENTRO EMP 30/06/2025 LQ 886,35 886,35"
