"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72461163006202522259_id.ret"
""
"Cadastrado título novo: 9000008655 3072 - BAKELS BRASIL INGRED 31/07/2025 RG 307,02 0"
"Pago título: 2500000006 935 - PREFEITURA MUNICIPAL 30/06/2025 LQ 20826,26 20826,26"
"Pago título: 2500000008 2457 - HYUNDAI MOTOR BRASIL 30/06/2025 LQ 11625,16 11625,16"
"Pago título: 2500000011 22 - HONDA AUTOMOVEIS DO BR 30/06/2025 LQ 9806,67 9806,67"
"Pago título: 2500000013 916 - UNIVERSIDADE ESTADUAL 30/06/2025 LQ 8767,5 8767,5"
"Pago título: 2500000017 956 - CERAMICA VILLAGRES LT 30/06/2025 LQ 7231,32 7231,32"
"Pago título: 2500000018 862 - THE LYCRA COMPANY IND 30/06/2025 LQ 7145,81 7145,81"
"Pago título: 2500000022 2391 - DEXCO SA 30/06/2025 LQ 5806,58 5806,58"
"Pago título: 2500000025 2902 - ARCOR DO BRASIL LTDA 30/06/2025 LQ 5393,46 5393,46"
"Pago título: 2500000027 3339 - ASSOCIACAO DE MELHOR 30/06/2025 LQ 4670,92 4670,92"
"Pago título: 2500000031 2330 - PQ SILICAS BRAZIL LT 30/06/2025 LQ 4222,46 4222,46"
"Pago título: 2500000034 491 - CATERPILLAR BRASIL LT 30/06/2025 LQ 4009,74 4009,74"
"Pago título: 2500000035 964 - TIGRE MATERIAIS E SOL 04/07/2025 LQ 3744,54 3744,54"
"Pago título: 2500000040 872 - ROBERT BOSCH LTDA 30/06/2025 LQ 3345,42 3345,42"
"Pago título: 2500000041 3610 - FENIX FABRIL INDUSTR 30/06/2025 LQ 3273,63 3273,63"
"Pago título: 2500000045 2573 - CONGREGACAO DE SANTA 30/06/2025 LQ 3129,19 3129,19"
"Pago título: 2500000050 2900 - HERO BRASIL SA 30/06/2025 LQ 2903,19 2903,19"
"Pago título: 2500000051 7849 - EXTRAMIX  CONCRETO L 30/06/2025 LQ 2869,46 2869,46"
"Pago título: 2500000052 516 - TETRA PAK LTDA 30/06/2025 LQ 2869,23 2869,23"
"Pago título: 2500000054 830 - UNIVERSIDADE ESTADUAL 30/06/2025 LQ 2801,02 2801,02"
"Pago título: 2500000067 151 - MOMENTIVE PERFORMANCE 30/06/2025 LQ 2205,57 2205,57"
"Pago título: 2500000068 7869 - VIP IND E COM DE CAI 30/06/2025 LQ 2175,32 2175,32"
"Pago título: 2500000069 2141 - SEARA ALIMENTOS SA 30/06/2025 LQ 2173,79 2173,79"
"Pago título: 2500000071 1420 - MIRVI BRASIL LTDA 30/06/2025 LQ 2139,86 2139,86"
"Pago título: 2500000072 2845 - SIND DO EMPREGADOS E 30/06/2025 LQ 2112,31 2112,31"
"Pago título: 2500000075 3872 - ADATA INTEGRATION BR 30/06/2025 LQ 1946,01 1946,01"
"Pago título: 2500000080 1926 - YADOYA INDUSTRIA E C 30/06/2025 LQ 1868,21 1868,21"
"Pago título: 2500000082 194 - CRUZEIRO DO SUL INDUS 30/06/2025 LQ 1838,16 1838,16"
"Pago título: 2500000084 3275 - UNIMED DE PIRACICABA 30/06/2025 LQ 1754,61 1754,61"
"Pago título: 2500000085 2675 - CORR PLASTIK LTDA 30/06/2025 LQ 1749,28 1749,28"
"Pago título: 2500000088 5150 - RAIZEN ENERGIA SA 30/06/2025 LQ 1656,59 1656,59"
"Pago título: 2500000089 94 - SERVICO SOCIAL DA INDU 30/06/2025 LQ 1638,56 1638,56"
"Pago título: 2500000091 2171 - LEONARDI CONSTRUCAO 30/06/2025 LQ 1610,21 1610,21"
"Pago título: 2500000092 1981 - BOSAL DO BRASIL LTDA 30/06/2025 LQ 1600,98 1600,98"
"Pago título: 2500000093 1406 - COMUNIDADE RELIGIOSA 30/06/2025 LQ 1596,75 1596,75"
"Pago título: 2500000094 6889 - EXTRAMIX CONCRETO LT 30/06/2025 LQ 1580,94 1580,94"
"Pago título: 2500000100 4764 - ASSOCIACAO DOS PROPR 30/06/2025 LQ 1463,83 1463,83"
"Pago título: 2500000104 3381 - SUBCOND SHOPPING CEN 30/06/2025 LQ 1448,94 1448,94"
"Pago título: 2500000108 7747 - SAMSUNG ELETRONICA D 30/06/2025 LQ 1426,18 1426,18"
"Pago título: 2500000109 3302 - PANIFICADORA E DISTR 30/06/2025 LQ 1419,92 1419,92"
"Pago título: 2500000110 470 - CBC INDUSTRIAS PESADA 30/06/2025 LQ 1377,98 1377,98"
"Pago título: 2500000112 1464 - REIPEL  RECICLAGEM E 30/06/2025 LQ 1367,14 1367,14"
"Pago título: 2500000113 465 - MAHLE METAL LEVE SA 30/06/2025 LQ 1324,49 1324,49"
"Pago título: 2500000119 542 - GLASSEC VIDROS DE SEG 30/06/2025 LQ 1229,62 1229,62"
"Pago título: 2500000120 1833 - AGRANA FRUIT BRASIL 30/06/2025 LQ 1212,64 1212,64"
"Pago título: 2500000123 2118 - LOG PARK ARMAZENS GE 30/06/2025 LQ 1182,63 1182,63"
"Pago título: 2500000125 2561 - SNELLOG ARMAZENS GER 30/06/2025 LQ 1171,07 1171,07"
"Pago título: 2500000127 7716 - EXTRAMIX CONCRETO LT 30/06/2025 LQ 1155,51 1155,51"
"Pago título: 2500000133 3769 - CONDOMINIO RESIDENCI 30/06/2025 LQ 1094,15 1094,15"
"Pago título: 2500000146 3086 - SEW EURODRIVE BRASIL 30/06/2025 LQ 1014,46 1014,46"
"Pago título: 2500000148 1399 - CONSIGAZ DISTRIBUIDO 30/06/2025 LQ 993,8 993,8"
"Pago título: 2500000150 2658 - KNORRBREMSE BRASIL H 30/06/2025 LQ 950,87 950,87"
"Pago título: 2500000152 1780 - SERVICO SOCIAL DA IN 30/06/2025 LQ 938,59 938,59"
"Pago título: 2500000154 2720 - INDUSTRIA FOX ECONOM 30/06/2025 LQ 915,75 915,75"
"Pago título: 2500000160 3282 - GASBALL ARMAZENADORA 30/06/2025 LQ 890,33 890,33"
"Pago título: 2500000162 2409 - TITO ENRIQUE DA SILV 30/06/2025 LQ 878,3 878,3"
"Pago título: 2500000164 1945 - GKT DO BRASIL LTDA 30/06/2025 LQ 878,3 878,3"
"Pago título: 2500000165 5038 - COLEGIO RENOVACAO IN 30/06/2025 LQ 878,3 878,3"
"Pago título: 2500000167 6962 - BRAVO ARMAZENS GERAI 30/06/2025 LQ 878,3 878,3"
"Pago título: 2500000168 5587 - KANIA INDUSTRIA E CO 30/06/2025 LQ 878,3 878,3"
"Pago título: 2500000170 3461 - CONFECCOES CAPRICHO 30/06/2025 LQ 874,76 874,76"
"Pago título: 2500000171 532 - CENTRO ESTADUAL DE ED 30/06/2025 LQ 832,55 832,55"
"Pago título: 2500000179 2692 - SERVICO SOCIAL DA IN 30/06/2025 LQ 735,28 735,28"
"Pago título: 2500000182 171 - MONDELEZ BRASIL LTDA 30/06/2025 LQ 731,91 731,91"
"Pago título: 2500000185 3583 - ALISUL ALIMENTOS SA 30/06/2025 LQ 721,89 721,89"
"Pago título: 2500000189 1480 - ASSOCIACAO DOS AMIGO 30/06/2025 LQ 711,42 711,42"
"Pago título: 2500000198 7726 - EXTRAMIX CONCRETO LT 30/06/2025 LQ 656,92 656,92"
"Pago título: 2500000199 1427 - CONCESSIONARIA DO SI 30/06/2025 LQ 655,03 655,03"
"Pago título: 2500000201 169 - CORPUS SANEAMENTO E O 30/06/2025 LQ 644,1 644,1"
"Pago título: 2500000202 3193 - NOSSO CLUBE 30/06/2025 LQ 643,79 643,79"
"Pago título: 2500000209 3316 - CONCESSIONARIA DO SI 30/06/2025 LQ 601,78 601,78"
"Pago título: 2500000215 5444 - ASSOCIACAO HELVETIA 30/06/2025 LQ 585,53 585,53"
"Pago título: 2500000219 2554 - TECPET TRANSPORTES E 30/06/2025 LQ 567,67 567,67"
"Pago título: 2500000224 1303 - GALVANI MINERACAO E 30/06/2025 LQ 550,56 550,56"
"Pago título: 2500000225 2585 - SISTEMA EDUCACIONAL 30/06/2025 LQ 549,29 549,29"
"Pago título: 2500000227 3317 - CONCESSIONARIA DO SI 30/06/2025 LQ 541,23 541,23"
"Pago título: 2500000228 2235 - COPRA INDUSTRIA COME 30/06/2025 LQ 539,01 539,01"
"Pago título: 2500000229 2200 - ASVOTEC TERMOINDUSTR 30/06/2025 LQ 538,12 538,12"
"Pago título: 2500000230 11 - PHIBRO SAUDE E NUTRICA 30/06/2025 LQ 537,25 537,25"
"Pago título: 2500000233 5623 - CONDOMINIO DO SHOPPI 30/06/2025 LQ 529,53 529,53"
"Pago título: 2500000235 226 - VELHOBOL CLUBE DE CAM 30/06/2025 LQ 526,98 526,98"
"Pago título: 2500000236 4822 - AGROPECUARIA MONTSUL 30/06/2025 LQ 525,53 525,53"
"Pago título: 2500000246 1114 - COMUNIDADE RELIGIOSA 30/06/2025 LQ 471,78 471,78"
"Pago título: 2500000250 2854 - AREA DO NUCLEO DO PO 30/06/2025 LQ 468,43 468,43"
"Pago título: 2500000252 2246 - CONCREBASE COMERCIO 30/06/2025 LQ 453,41 453,41"
"Pago título: 2500000253 131 - CONDOMINIO EDIFICIO G 30/06/2025 LQ 451,8 451,8"
"Pago título: 2500000254 2255 - CRIVELLARO E FILHOS 30/06/2025 LQ 447,98 447,98"
"Pago título: 2500000258 519 - SINDICATO PROP PROP V 30/06/2025 LQ 439,14 439,14"
"Pago título: 2500000263 6520 - FERREIRA DE FARIAS P 30/06/2025 LQ 439,14 439,14"
"Pago título: 2500000266 887 - AKDENIZ CHEMSON ADITI 30/06/2025 LQ 434,76 434,76"
"Pago título: 2500000267 2117 - IPEL  ITIBANYL PRODU 30/06/2025 LQ 425,97 425,97"
"Pago título: 2500000268 2584 - EXTRAMIX CONCRETO LT 30/06/2025 LQ 423,51 423,51"
"Pago título: 2500000269 3182 - COMFRIO SOLUCOES LOG 30/06/2025 LQ 421,59 421,59"
"Pago título: 2500000270 4399 - TAUSTE SUPERMERCADOS 30/06/2025 LQ 421,14 421,14"
"Pago título: 2500000278 1061 - FUNDACAO CENTRO MEDI 30/06/2025 LQ 406,77 406,77"
"Pago título: 2500000284 897 - TEXPAL QUIMICA LTDA 30/06/2025 LQ 395,91 395,91"
"Pago título: 2500000291 1599 - LUIZ GUILHERME SARTO 04/07/2025 LQ 392,75 392,75"
"Pago título: 2500000292 4063 - FLAMENGO FUTEBOL CLU 30/06/2025 LQ 392,75 392,75"
"Pago título: 2500000297 3113 - ASSOCIACAO DOS AMIGO 30/06/2025 LQ 386,45 386,45"
"Pago título: 2500000300 3768 - VIMASTER INDUSTRIA E 30/06/2025 LQ 385,35 385,35"
"Pago título: 2500000303 3405 - VICMA CONSTRUCOES E 30/06/2025 LQ 383,46 383,46"
"Pago título: 2500000306 2670 - RONALDO ALUISIO KIEV 30/06/2025 LQ 380,59 380,59"
"Pago título: 2500000309 7853 - CONDOMINIO TOSCANA 30/06/2025 LQ 375,95 375,95"
"Pago título: 2500000311 3665 - EXTRAMIX CONCRETO LT 30/06/2025 LQ 375,38 375,38"
"Pago título: 2500000314 3492 - AUTO POSTO NC LTDA E 30/06/2025 LQ 374,39 374,39"
"Pago título: 2500000318 2676 - SAFEPRINT INDUSTRIA 30/06/2025 LQ 372,04 372,04"
"Pago título: 2500000319 4067 - LICEU CORACAO DE JES 30/06/2025 LQ 371,24 371,24"
"Pago título: 2500000320 3634 - CELLERA FARMACEUTICA 30/06/2025 LQ 370,3 370,3"
"Pago título: 2500000322 146 - CONDOMINIO RESIDENCIA 30/06/2025 LQ 368,89 368,89"
"Pago título: 2500000324 934 - UNIVERSIDADE ESTADUAL 30/06/2025 LQ 367,9 367,9"
