"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72461381507202521550_id.ret"
""
"Cadastrado título novo: 9000008696 2351 - SPEL EMBALAGENS LTDA 31/07/2025 RG 331,23 0"
"Pago título: 2500000014 2813 - TRBR INDUSTRIA E COM 11/07/2025 LQ 8231,49 8407,08"
"Pago título: 2500000173 2277 - MYRALIS INDUSTRIA FA 11/07/2025 LQ 784,11 800,83"
"Pago título: 2500000370 7135 - ASSOCIACAO DOS PROPR 15/07/2025 LQ 351,32 351,32"
"Pago título: 2500000434 2218 - ASSOCIACAO DE PROPRI 15/07/2025 LQ 317,68 317,68"
"Pago título: 2500000863 7882 - BASF CATALISADORES L 30/06/2025 LQ 173,55 177,88"
"Pago título: 2500001042 7901 - CONDOMINIO RESIDENCI 31/07/2025 LQ 292,77 292,77"
"Pago título: 2500001245 3270 - ASSOCIACAO DOS MORAD 15/07/2025 LQ 248,85 248,85"
"Pago título: 2500001389 4430 - INDUSTRIA E COMERCIO 30/06/2025 LQ 219,57 225,05"
"Pago título: 2500001852 2875 - ASSOCIACAO DE MORADO 15/07/2025 LQ 219,57 219,57"
"Pago título: 2500001954 4056 - ASSOCIACAO DOS PROPR 15/07/2025 LQ 204,94 204,94"
"Pago título: 2500002488 7294 - ASSOCIACAO DE PROPRI 15/07/2025 LQ 234,23 234,23"
"Pago título: 2500002738 3424 - ASSOCIACAO DOS PROP 15/07/2025 LQ 204,92 204,92"
"Pago título: 2500002995 2452 - RUI GONCALVES TEIXEI 30/06/2025 LQ 219,45 224,92"
"Pago título: 2500004674 968 - SUZANO PAPEL E CELULO 31/07/2025 LQ 931,2 931,2"
"Pago título: 2500004729 2747 - SINTO BRASIL PRODUTO 15/07/2025 LQ 892,92 892,92"
"Pago título: 2500005590 432 - ASSOCIACAO PROPRIETAR 15/07/2025 LQ 523,93 523,93"
"Pago título: 2500005877 5646 - MRV ENGENHARIA E PAR 15/07/2025 LQ 449,86 449,86"
"Pago título: 2500005878 5646 - MRV ENGENHARIA E PAR 31/07/2025 LQ 449,83 449,83"
"Pago título: 2500006116 7810 - CAVALINNO EMPREENDIM 31/07/2025 LQ 410,99 410,99"
"Pago título: 2500006430 7805 - VICORP EMPREENDIMENT 11/07/2025 LQ 356,4 363,99"
"Pago título: 2500006571 85 - ASSOCIACAO PROPRIETARI 31/07/2025 LQ 338,25 338,25"
"Pago título: 2500006850 5803 - ASSOCIACAO DOS AMIGO 15/07/2025 LQ 313,67 313,67"
"Pago título: 2500006920 2375 - PRODUTOS ALIMENTICIO 30/06/2025 LQ 308,5 316,21"
"Pago título: 2500007256 304 - ASSOC DOS PROPRIETARI 30/06/2025 LQ 264,76 271,37"
"Pago título: 2500007257 304 - ASSOC DOS PROPRIETARI 31/07/2025 LQ 264,79 264,79"
"Pago título: 2500008062 349 - SOBAM CENTRO MEDICO H 31/07/2025 LQ 200,58 200,58"
"Pago título: 2500008063 349 - SOBAM CENTRO MEDICO H 29/08/2025 LQ 200,58 200,58"
"Pago título: 2500008064 349 - SOBAM CENTRO MEDICO H 30/09/2025 LQ 200,58 200,58"
"Pago título: 2500008065 349 - SOBAM CENTRO MEDICO H 31/10/2025 LQ 200,58 200,58"
"Pago título: 2500008066 349 - SOBAM CENTRO MEDICO H 28/11/2025 LQ 200,58 200,58"
"Pago título: 2500008067 349 - SOBAM CENTRO MEDICO H 19/12/2025 LQ 200,58 200,58"
"ERRO! Operação desconhecida: 2500000948 225 - AMPARO ATHLETICO CLUB 25/07/2025 VC 137,36 0"
"ERRO! Operação desconhecida: 2500001077 3123 - FRANCISCO ISSAO SAIT 18/07/2025 VC 292,76 0"
