"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72461603007202521158_id.ret"
""
"Cadastrado título novo: 9000008730 1660 - CCL INDUSTRIES DO BR 29/08/2025 RG 431,25 0"
"Pago título: 2500000047 5413 - SECRETARIA DA ADMINI 31/07/2025 LQ 3035,67 3035,67"
"Pago título: 2500000241 3149 - HWASHIN FABRICANTE D 31/07/2025 LQ 488,11 488,11"
"Pago título: 2500001134 7899 - ASSOCIACAO DOS PROPR 31/07/2025 LQ 274,27 274,27"
"Pago título: 2500001246 3270 - ASSOCIACAO DOS MORAD 31/07/2025 LQ 248,86 248,86"
"Pago título: 2500001266 3850 - PORTO DE AREIA RIO B 31/07/2025 LQ 243,96 243,96"
"Pago título: 2500001344 2119 - EDIFICIO CRUZEIRO DO 31/07/2025 LQ 222,8 222,8"
"Pago título: 2500001358 796 - EUFLOSINO DOMINGUES N 31/07/2025 LQ 219,57 219,57"
"Pago título: 2500001360 1605 - RONALDO MOISES 31/07/2025 LQ 219,57 219,57"
"Pago título: 2500001362 340 - SIND TRAB IND DE VIDR 31/07/2025 LQ 219,57 219,57"
"Pago título: 2500001366 4279 - BOREALIS BRASIL SA 31/07/2025 LQ 219,57 219,57"
"Pago título: 2500001426 2739 - CRISTA INDUSTRIA E C 31/07/2025 LQ 218,37 218,37"
"Pago título: 2500001446 1340 - INDUSTRIA DE BEBIDAS 31/07/2025 LQ 213,34 213,34"
"Pago título: 2500001496 1185 - MINERADORA BARBARENS 31/07/2025 LQ 204,94 204,94"
"Pago título: 2500001506 5490 - CARMONA CERVEJARIA A 31/07/2025 LQ 203,88 203,88"
"Pago título: 2500001592 1160 - OPERSAN RESIDUOS IND 31/07/2025 LQ 250,01 250,01"
"Pago título: 2500001619 5350 - CONDOMINIO RESERVA D 31/07/2025 LQ 244,78 244,78"
"Pago título: 2500001625 613 - PAULO AGNELO MALZONI 31/07/2025 LQ 243,97 243,97"
"Pago título: 2500001697 3177 - CONCREVIP CONCRETARI 31/07/2025 LQ 239,99 239,99"
"Pago título: 2500001709 176 - SERVICO SOCIAL DO COM 31/07/2025 LQ 238,79 238,79"
"Pago título: 2500001736 3211 - DENILSON BISPO 31/07/2025 LQ 234,21 234,21"
"Pago título: 2500001799 4034 - LUCI AREIA LTDA ME 31/07/2025 LQ 226,6 226,6"
"Pago título: 2500001853 2875 - ASSOCIACAO DE MORADO 31/07/2025 LQ 219,58 219,58"
"Pago título: 2500001874 2041 - COSMOPOLITANO FUTEBO 31/07/2025 LQ 219,32 219,32"
"Pago título: 2500001880 3244 - PLANMAR INDUSTRIA E 31/07/2025 LQ 218,95 218,95"
"Pago título: 2500001955 4056 - ASSOCIACAO DOS PROPR 31/07/2025 LQ 204,93 204,93"
"Pago título: 2500002015 1367 - ASSOCIACAO DE MELHOR 31/07/2025 LQ 245,19 245,19"
"Pago título: 2500002123 450 - CONDOMINIO CHACARAS D 31/07/2025 LQ 229,09 229,09"
"Pago título: 2500002219 5621 - CENTERANEL 1 PARTICI 31/07/2025 LQ 219,58 219,58"
"Pago título: 2500002263 3400 - SZANARDI EMPREENDIME 31/07/2025 LQ 216,65 216,65"
"Pago título: 2500002264 3400 - SZANARDI EMPREENDIME 29/08/2025 LQ 216,65 216,65"
"Pago título: 2500002265 3400 - SZANARDI EMPREENDIME 30/09/2025 LQ 216,65 216,65"
"Pago título: 2500002343 5633 - IBIS AGRARIA LTDA 31/07/2025 LQ 210,79 210,79"
"Pago título: 2500002407 949 - DANA INDUSTRIAS LTDA 31/07/2025 LQ 203,46 203,46"
"Pago título: 2500002485 302 - TEXTIL IRINEU MENEGHE 29/08/2025 LQ 234,3 234,3"
"Pago título: 2500002489 7294 - ASSOCIACAO DE PROPRI 31/07/2025 LQ 234,21 234,21"
"Pago título: 2500002504 7884 - ASSOCIACAO DE CONSER 31/07/2025 LQ 234,21 234,21"
