"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR7246170608202521006_id.ret"
""
"Cadastrado título novo: 9000008743 1697 - AVERY DENNISON DO BR 29/08/2025 RG 501,54 0"
"Cadastrado título novo: 9000008744 225 - AMPARO ATHLETICO CLUB 29/08/2025 RG 240,65 0"
"Cadastrado título novo: 9000008745 225 - AMPARO ATHLETICO CLUB 30/09/2025 RG 240,65 0"
"Cadastrado título novo: 9000008746 335 - ANTONIO BORIN IND E C 29/08/2025 RG 1226,03 0"
"Cadastrado título novo: 9000008747 335 - ANTONIO BORIN IND E C 30/09/2025 RG 1226,03 0"
"Cadastrado título novo: 9000008748 335 - ANTONIO BORIN IND E C 31/10/2025 RG 1226,03 0"
"Pago título: 2500000854 1660 - CCL INDUSTRIES DO BR 06/08/2025 LQ 176,3 176,3"
"Pago título: 2500001788 4104 - RESSOLAGEM MARQUES P 29/08/2025 LQ 230,24 230,24"
"Pago título: 2500002420 3139 - RAIZEN ENERGIA SA 29/08/2025 LQ 201,73 201,73"
"Pago título: 2500003408 942 - RAIZEN ENERGIA SA 29/08/2025 LQ 24342,13 24342,13"
"Pago título: 2500003478 1024 - RAIZEN ENERGIA SA 29/08/2025 LQ 12931,76 12931,76"
"Pago título: 2500003513 943 - RAIZEN ENERGIA SA 29/08/2025 LQ 9549,23 9549,23"
"Pago título: 2500003611 1035 - RAIZEN ENERGIA SA 29/08/2025 LQ 6270,7 6270,7"
"Pago título: 2500003814 941 - RAIZEN ENERGIA SA 29/08/2025 LQ 2841,74 2841,74"
"Pago título: 2500003891 7773 - RAIZENGEO BIOGAS COS 29/08/2025 LQ 2488,15 2488,15"
"Pago título: 2500004317 3701 - ASSOCIACAO DE SOCIOS 31/07/2025 LQ 1380,19 1410,55"
"Pago título: 2500006012 4654 - ASSOC DOS PROP DE LO 29/08/2025 LQ 418,24 418,24"
"Pago título: 2500006893 3377 - COMERCIO DE AGUAS E 31/07/2025 LQ 313,68 320,57"
