"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72461982608202521743_id.ret"
""
"Cadastrado título novo: 9000008803 4499 - PIMENTA VERDE ALIMEN 30/09/2025 RG 1076,85 0"
"Cadastrado título novo: 9000008804 1570 - CONDOMINIO RESIDENCI 30/09/2025 RG 562,69 0"
"Cadastrado título novo: 9000008805 3018 - COLOROBBIA BRASIL PR 30/09/2025 RG 783,26 0"
"Cadastrado título novo: 9000008806 2267 - KSB BOMBAS HIDRAULIC 30/09/2025 RG 1200,68 0"
"Cadastrado título novo: 9000008807 1742 - CONDOMINIO SERANILA 30/09/2025 RG 472,32 0"
"Cadastrado título novo: 9000008808 363 - H N HOTEIS E TURISMO 30/09/2025 RG 409,77 0"
"Cadastrado título novo: 9000008809 3535 - JOFEGE FIACAO E TECE 29/08/2025 RG 1586,34 0"
"Cadastrado título novo: 9000008810 2389 - JOFEGE CONCRETO LTDA 30/09/2025 RG 451,14 0"
"Cadastrado título novo: 9000008811 3459 - JOFEGE CONCRETO LTDA 30/09/2025 RG 450,42 0"
"Cadastrado título novo: 9000008812 5234 - VALICON SERVICOS PAR 29/08/2025 RG 761,55 0"
"Cadastrado título novo: 9000008813 2756 - PIMENTA VERDE ALIMEN 30/09/2025 RG 507,66 0"
"Cadastrado título novo: 9000008814 3373 - PIMENTA VERDE ALIMEN 30/09/2025 RG 738,41 0"
"Cadastrado título novo: 9000008815 2746 - PIMENTA VERDE ALIMEN 30/09/2025 RG 393,81 0"
"Cadastrado título novo: 9000008816 1679 - PIMENTA VERDE ALIMEN 30/09/2025 RG 803,36 0"
"Cadastrado título novo: 9000008817 4270 - PIMENTA VERDE ALIMEN 30/09/2025 RG 492,27 0"
"Cadastrado título novo: 9000008818 2679 - KSB BOMBAS HIDRAULIC 30/09/2025 RG 1545,97 0"
"Pago título: 2500001755 444 - VIRONDA CONFECCOES LT 29/08/2025 LQ 233,68 233,68"
"Pago título: 2500001785 3734 - ASSOCIACAO DE PROP C 29/08/2025 LQ 230,31 230,31"
"Pago título: 2500002112 1478 - ARGIPAR ARGILA PARTE 29/08/2025 LQ 230,55 230,55"
"Pago título: 2500002212 4650 - ABATEDOURO DE AVES I 29/08/2025 LQ 219,58 219,58"
"Pago título: 2500002735 5290 - ASSOC DE PROPR E MOR 29/08/2025 LQ 204,94 204,94"
"Pago título: 2500002745 155 - AUTO POSTO AMIGAO DA 29/08/2025 LQ 204,94 204,94"
"Pago título: 2500002780 2367 - INDUSTRIA DE FRIOS X 29/08/2025 LQ 202,64 202,64"
"Pago título: 2500004654 3011 - VIRONDA CONFECCOES L 29/08/2025 LQ 956,71 956,71"
"Pago título: 2500004759 861 - HUDTELFA TEXTILE TECH 29/08/2025 LQ 867,19 867,19"
"Pago título: 2500004878 3060 - ASSOCIACAO DOS PROPR 29/08/2025 LQ 815,56 815,56"
"Pago título: 2500005347 2088 - ASSOCIACAO DE PROPRI 29/08/2025 LQ 610,63 610,63"
"Pago título: 2500005410 3389 - CONDOMINIO RESIDENCI 29/08/2025 LQ 587,31 587,31"
"Pago título: 2500005480 7807 - RESERVA SANTA ISABEL 29/08/2025 LQ 568,84 568,84"
"Pago título: 2500005844 2478 - ASSOC DOS PROPRIETAR 29/08/2025 LQ 453,11 453,11"
"Pago título: 2500006635 7322 - CAMARGO COMPANHIA DE 29/08/2025 LQ 334,59 334,59"
"Pago título: 2500007433 1564 - INDUSTRIA E COMERCIO 29/08/2025 LQ 248,63 248,63"
"Pago título: 2500007979 6768 - CONDOMINIO RESIDENCI 29/08/2025 LQ 205,5 205,5"
"Pago título: 9000008751 4491 - NELSON ZUFFO 29/08/2025 LQ 258,28 258,28"
