"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72462002708202521213_id.ret"
""
"Cadastrado título novo: 9000008819 2850 - POLIMIX CONCRETO LTD 30/09/2025 RG 692,26 0"
"Cadastrado título novo: 9000008820 583 - HOTEL BOURBON DE FOZ 29/08/2025 RG 9661,79 0"
"Cadastrado título novo: 9000008821 3852 - MARPI EMPREENDIMENTO 30/09/2025 RG 1699,08 0"
"Cadastrado título novo: 9000008822 89 - IMERYS FUSED MINERALS 30/09/2025 RG 2189,41 0"
"Cadastrado título novo: 9000008823 2909 - NEOVIA NUTRICAO E SA 30/09/2025 RG 995,64 0"
"Cadastrado título novo: 9000008824 4690 - RODONAVES TRANSPORTE 30/09/2025 RG 585,53 0"
"Cadastrado título novo: 9000008825 2469 - RICLAN S/A 29/08/2025 RG 718,49 0"
"Cadastrado título novo: 9000008826 1652 - RICLAN S/A 29/08/2025 RG 843,4 0"
"Pago título: 2500001719 4419 - MIDAS INCORPORADORA 29/08/2025 LQ 237,77 237,77"
"Pago título: 2500001845 1838 - MARGARETH CASTILHO D 29/08/2025 LQ 219,8 219,8"
"Pago título: 2500001863 4872 - CONDOMINIO CAMPINAS 29/08/2025 LQ 219,58 219,58"
"Pago título: 2500001923 3569 - CONDOMINIO RESIDENCI 29/08/2025 LQ 212,26 212,26"
"Pago título: 2500002080 2657 - INDUSTRIAS NARDINI S 29/08/2025 LQ 234,07 234,07"
"Pago título: 2500002392 1850 - DP  LF TRANSPORTES L 29/08/2025 LQ 204,94 204,94"
"Pago título: 2500002408 949 - DANA INDUSTRIAS LTDA 29/08/2025 LQ 203,46 203,46"
"Pago título: 2500002760 1192 - SECRETARIA DA ADMINI 29/08/2025 LQ 204,37 204,37"
"Pago título: 2500002919 1113 - PPC SANTANA EQUIPAME 29/08/2025 LQ 223,29 223,29"
"Pago título: 2500003021 3594 - CPM CONCRETO DE PRE 29/08/2025 LQ 218,04 218,04"
"Pago título: 2500003165 14 - BORGWARNER INDUSTRIA E 29/08/2025 LQ 206,43 206,43"
"Pago título: 2500003213 3929 - MINERACAO SAMAMBAIA 29/08/2025 LQ 202,19 202,19"
"Pago título: 2500003225 5616 - TRADECORP DO BRASIL 29/08/2025 LQ 201,51 201,51"
"Pago título: 2500003324 940 - SERVICO AUTONOMO DE A 29/08/2025 LQ 54195,38 54195,38"
"Pago título: 2500003443 3411 - PREFEITURA MUNICIPAL 29/08/2025 LQ 19711,2 19711,2"
"Pago título: 2500003464 1695 - GOODYEAR DO BRASIL P 29/08/2025 LQ 14585,72 14585,72"
"Pago título: 2500003730 7766 - AGROPECUARIA TUIUTI 29/08/2025 LQ 3712,5 3712,5"
"Pago título: 2500003940 1743 - EDSON CHINARELLI TRA 29/08/2025 LQ 2241,76 2241,76"
"Pago título: 2500004129 559 - BENEFICIADORA DE TECI 29/08/2025 LQ 1773,4 1773,4"
"Pago título: 2500004395 3462 - CONDOMINIO EMPRESARI 29/08/2025 LQ 1236,2 1236,2"
"Pago título: 2500004542 157 - CONDOMINIO TECH TOWN 29/08/2025 LQ 1046,48 1046,48"
"Pago título: 2500004570 1145 - JOBEMA DISTRIBUIDORA 29/08/2025 LQ 1044,68 1044,68"
"Pago título: 2500004598 892 - A AZEVEDO INDUSTRIA E 29/08/2025 LQ 1024,01 1024,01"
"Pago título: 2500004738 558 - CONDOMINIO CENTRO EMP 29/08/2025 LQ 886,37 886,37"
"Pago título: 2500004822 5402 - SAO PAULO SECRETARIA 29/08/2025 LQ 844,71 844,71"
"Pago título: 2500005060 392 - CONDOMINIO SHOPPING C 29/08/2025 LQ 723,15 723,15"
"Pago título: 2500005074 900 - DANA INDUSTRIAS LTDA 29/08/2025 LQ 717,38 717,38"
"Pago título: 2500005088 59 - FUND CPQD  CENTRO PESQ 29/08/2025 LQ 688,03 688,03"
"Pago título: 2500005242 3383 - CENTRO EMPRESARIAL E 29/08/2025 LQ 635,11 635,11"
"Pago título: 2500005319 3032 - CONDOMINIO VILLAGE S 29/08/2025 LQ 614,81 614,81"
"Pago título: 2500005578 1829 - NHEEL QUIMICA LTDA 29/08/2025 LQ 535,12 535,12"
"Pago título: 2500005585 2889 - I  M PAPEIS E EMBALA 29/08/2025 LQ 529,65 529,65"
"Pago título: 2500005725 3333 - AUREO ALESSANDRO DA 29/08/2025 LQ 500,4 500,4"
"Pago título: 2500005816 2329 - NOVA MIX INDUSTRIAL 29/08/2025 LQ 463,32 463,32"
"Pago título: 2500006180 7324 - THEIA EMPREENDIMENTO 29/08/2025 LQ 398,01 398,01"
"Pago título: 2500006278 5487 - ASSOC DOS PROPR DE L 29/08/2025 LQ 376,41 376,41"
"Pago título: 2500006369 841 - MAGNETI MARELLI SISTE 29/08/2025 LQ 365,06 365,06"
"Pago título: 2500006509 1222 - SOCIEDADE COMUNITARI 29/08/2025 LQ 342,12 342,12"
"Pago título: 2500006663 1122 - PPC SANTANA EQUIPAME 29/08/2025 LQ 333,42 333,42"
"Pago título: 2500006684 3366 - TECHIMPORT TECNOLOGI 29/08/2025 LQ 331,37 331,37"
"Pago título: 2500006698 3382 - CENTRO EMPRESARIAL E 29/08/2025 LQ 328,89 328,89"
"Pago título: 2500006943 2559 - CONDOMINIO RESIDENCI 29/08/2025 LQ 303,22 303,22"
"Pago título: 2500007013 7854 - ARKEMA COATEX BRASIL 29/08/2025 LQ 297,18 297,18"
"Pago título: 2500007307 149 - GREEN GOLF CLUB 29/08/2025 LQ 254,83 254,83"
"Pago título: 2500007643 1742 - CONDOMINIO SERANILA 29/08/2025 LQ 225,85 225,85"
"Pago título: 2500007769 1077 - DP  LF TRANSPORTES L 29/08/2025 LQ 214,56 214,56"
"Pago título: 9000008570 1547 - SOCER BRASIL INDUSTR 29/08/2025 LQ 871,35 871,35"
"Pago título: 9000008740 3918 - ROSALVO MONTEIRO ME 30/09/2025 LQ 1171,82 1171,82"
"Pago título: 9000008752 1046 - BRK AMBIENTAL - LIME 29/08/2025 LQ 80732,68 80732,68"
"Pago título: 9000008785 21 - PLASTIPAK PACKAGING DO 29/08/2025 LQ 1626,62 1626,62"
"Pago título: 9000008798 790 - VLADIMIR JOSE TIZZIAN 30/09/2025 LQ 980,39 980,39"
"Pago título: 9000008804 1570 - CONDOMINIO RESIDENCI 30/09/2025 LQ 562,69 562,69"
"Cancelado título: 2500001060 4690 - RODONAVES TRANSPORTE 31/07/2025 BX 292,77 0"
