"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72462022808202521440_id.ret"
""
"Cadastrado título novo: 9000008827 1133 - AIR LIQUIDE BRASIL L 30/09/2025 RG 405,24 0"
"Cadastrado título novo: 9000008828 954 - AB SISTEMA DE FREIOS 30/09/2025 RG 637,17 0"
"Cadastrado título novo: 9000008829 156 - EMBRASATEC INDUSTRIA 30/09/2025 RG 421,31 0"
"Cadastrado título novo: 9000008830 7859 - EMBRASA EMBALAGEM BR 30/09/2025 RG 229,52 0"
"Cadastrado título novo: 9000008831 4030 - EMBRASATEC INDUSTRIA 30/09/2025 RG 417,04 0"
"Cadastrado título novo: 9000008832 2841 - CERAMICA DA MATA LTD 30/09/2025 RG 369,2 0"
"Cadastrado título novo: 9000008833 2032 - SEW - EURODRIVE BRAS 30/09/2025 RG 777,21 0"
"Cadastrado título novo: 9000008834 2087 - VB TRANSPORTES E TUR 30/09/2025 RG 821,57 0"
"Cadastrado título novo: 9000008835 1200 - CLARO S.A. 30/09/2025 RG 525,98 0"
"Pago título: 2500001578 4109 - COND CENTRO DE LOGIS 29/08/2025 LQ 254,23 254,23"
"Pago título: 2500001584 5618 - ASSOCIACAO DE PROPRI 29/08/2025 LQ 253,73 253,73"
"Pago título: 2500001593 1160 - OPERSAN RESIDUOS IND 29/08/2025 LQ 250,01 250,01"
"Pago título: 2500001881 3244 - PLANMAR INDUSTRIA E 29/08/2025 LQ 218,95 218,95"
"Pago título: 2500002120 4407 - RODOPOSTO BANDEIRANT 29/08/2025 LQ 229,45 229,45"
"Pago título: 2500002176 5433 - ANTONIO PEDRO CREMON 29/08/2025 LQ 219,58 219,58"
"Pago título: 2500002177 5433 - ANTONIO PEDRO CREMON 30/09/2025 LQ 219,58 219,58"
"Pago título: 2500002216 3298 - ASSOC DO CONJUNTO RE 29/08/2025 LQ 219,58 219,58"
"Pago título: 2500002284 4534 - CONDOMINIO CIVIL CEN 29/08/2025 LQ 215,11 215,11"
"Pago título: 2500002292 3968 - EATON LTDA 29/08/2025 LQ 214,89 214,89"
"Pago título: 2500002340 4509 - EXTRACAO E COMERCIO 29/08/2025 LQ 210,79 210,79"
