"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72462042908202522354_id.ret"
""
"Cadastrado título novo: 9000008836 293 - OMAMORI INDUSTRIA DE 30/09/2025 RG 3454,85 0"
"Cadastrado título novo: 9000008837 932 - GREMIO RECR EMPREGADO 30/09/2025 RG 209,98 0"
"Cadastrado título novo: 9000008838 932 - GREMIO RECR EMPREGADO 31/10/2025 RG 209,98 0"
"Cadastrado título novo: 9000008839 932 - GREMIO RECR EMPREGADO 28/11/2025 RG 209,98 0"
"Cadastrado título novo: 9000008840 932 - GREMIO RECR EMPREGADO 31/12/2025 RG 209,98 0"
"Pago título: 2500000809 2662 - TEXTIL FAVERO LTDA 29/08/2025 LQ 196,29 196,29"
"Pago título: 2500001035 2307 - AGROLINK IMPORTACAO 29/08/2025 LQ 293,35 293,35"
"Pago título: 2500001527 5419 - TECTEXTIL EMBALAGENS 29/08/2025 LQ 265,98 265,98"
"Pago título: 2500001533 4137 - ALBERT SABIN HOSPITA 29/08/2025 LQ 264,23 264,23"
"Pago título: 2500001542 2184 - CABLENA DO BRASIL LT 29/08/2025 LQ 261,8 261,8"
"Pago título: 2500001545 2076 - PH FIT  FITAS E INOV 29/08/2025 LQ 260,43 260,43"
"Pago título: 2500001548 3241 - ESPACO BARTO EVENTOS 29/08/2025 LQ 259,93 259,93"
"Pago título: 2500001563 990 - ASTRA SA INDUSTRIA E 29/08/2025 LQ 256,95 256,95"
"Pago título: 2500001572 2030 - GLOBALPACK INDUSTRIA 29/08/2025 LQ 255,29 255,29"
"Pago título: 2500001590 7874 - SENDAS DISTRIBUIDORA 29/08/2025 LQ 250,88 250,88"
"Pago título: 2500001602 2597 - TATU PREMOLDADOS LTD 29/08/2025 LQ 248,85 248,85"
"Pago título: 2500001611 2963 - FIBRILA TEXTILE LTDA 29/08/2025 LQ 246,79 246,79"
"Pago título: 2500001620 5350 - CONDOMINIO RESERVA D 29/08/2025 LQ 244,78 244,78"
"Pago título: 2500001626 613 - PAULO AGNELO MALZONI 29/08/2025 LQ 243,97 243,97"
"Pago título: 2500001629 5011 - ASSOCIACAO DOS MORAD 29/08/2025 LQ 243,97 243,97"
"Pago título: 2500001635 5583 - RECANTO FAVARO  MARC 29/08/2025 LQ 243,97 243,97"
"Pago título: 2500001644 7855 - ASSOC DOS MOR DO RES 29/08/2025 LQ 243,97 243,97"
"Pago título: 2500001653 4826 - ATACADAO SA 29/08/2025 LQ 243,97 243,97"
"Pago título: 2500001656 7727 - SENDAS DISTRIBUIDORA 29/08/2025 LQ 243,97 243,97"
"Pago título: 2500001671 4582 - CAMPEAO 80 POSTOS DE 29/08/2025 LQ 243,97 243,97"
"Pago título: 2500001674 5439 - ASSOCIACAO DOS MORAD 29/08/2025 LQ 243,97 243,97"
"Pago título: 2500001680 1718 - HOTELARIA BRASIL LTD 29/08/2025 LQ 243,14 243,14"
"Pago título: 2500001686 2372 - BELENUS DO BRASIL LT 29/08/2025 LQ 241,59 241,59"
"Pago título: 2500001689 7851 - HIPERMIX JUNDIAI SER 29/08/2025 LQ 240,75 240,75"
"Pago título: 2500001692 3065 - ELETROMEI INDUSTRIA 29/08/2025 LQ 240,56 240,56"
"Pago título: 2500001695 1482 - OLIVEIRA  OLIVEIRA 29/08/2025 LQ 240,3 240,3"
"Pago título: 2500001698 3177 - CONCREVIP CONCRETARI 29/08/2025 LQ 239,99 239,99"
"Pago título: 2500001704 5283 - ARTHI COMERCIAL LTDA 29/08/2025 LQ 239,43 239,43"
"Pago título: 2500001716 1905 - ITUPEVA HOTEIS CONVE 29/08/2025 LQ 238,18 238,18"
"Pago título: 2500001722 2517 - M TORETI 29/08/2025 LQ 237,74 237,74"
"Pago título: 2500001725 1935 - MINERGUITA MINERACAO 29/08/2025 LQ 237,11 237,11"
"Pago título: 2500001728 1206 - NACIONAL GAS BUTANO 29/08/2025 LQ 235,23 235,23"
"Pago título: 2500001734 561 - JULIMAR LAVANDERIA LT 29/08/2025 LQ 234,63 234,63"
"Pago título: 2500001740 2974 - ASSOCIACAO DE MORADO 29/08/2025 LQ 234,21 234,21"
"Pago título: 2500001743 2438 - ASSOCIACAO SAO MIGUE 29/08/2025 LQ 234,21 234,21"
"Pago título: 2500001764 6791 - ASSOCIACAO DOS PROPR 29/08/2025 LQ 231,61 231,61"
"Pago título: 2500001767 3815 - CONDOMINIO AMABILIS 29/08/2025 LQ 231,57 231,57"
"Pago título: 2500001773 464 - NESTLE BRASIL LTDA 29/08/2025 LQ 231,48 231,48"
"Pago título: 2500001776 3684 - SOCIEDADE REGIONAL D 29/08/2025 LQ 230,93 230,93"
"Pago título: 2500001791 3882 - SOCIEDADE MELHORAMEN 29/08/2025 LQ 229,15 229,15"
"Pago título: 2500001794 1014 - MINERACAO DIBASE PED 29/08/2025 LQ 228,19 228,19"
"Pago título: 2500001797 2666 - FUCHS GEWURZE DO BRA 29/08/2025 LQ 227,46 227,46"
"Pago título: 2500001803 3030 - TEXTIL GL LTDA 29/08/2025 LQ 226,6 226,6"
"Pago título: 2500001815 737 - ROSILAINE DIONIZIO DA 29/08/2025 LQ 225,46 225,46"
"Pago título: 2500001818 4777 - ASSOCIACAO DOS FUNCI 29/08/2025 LQ 225,43 225,43"
"Pago título: 2500001827 1221 - NORQUIMA PRODUTOS QU 29/08/2025 LQ 222,68 222,68"
"Pago título: 2500001833 7889 - CORPAK INDUSTRIA E C 29/08/2025 LQ 221,85 221,85"
"Pago título: 2500001854 2875 - ASSOCIACAO DE MORADO 29/08/2025 LQ 219,58 219,58"
"Pago título: 2500001857 2169 - ASSOCIACAO DE PROPRI 29/08/2025 LQ 219,58 219,58"
"Pago título: 2500001860 1580 - ENGRATECH TECNOLOGIA 29/08/2025 LQ 219,58 219,58"
"Pago título: 2500001872 3315 - ASSOCIACAO DOS PROP 29/08/2025 LQ 219,58 219,58"
"Pago título: 2500001887 2219 - IRMAOS PARAZZI LTDA 29/08/2025 LQ 218,47 218,47"
"Pago título: 2500001890 482 - TAVARES PINHEIRO INDU 29/08/2025 LQ 217,78 217,78"
"Pago título: 2500001893 6886 - CONDOMINIO RESIDENCI 29/08/2025 LQ 217,51 217,51"
"Pago título: 2500001908 2582 - TEXTIL OMBORGO LTDA 29/08/2025 LQ 213,6 213,6"
"Pago título: 2500001932 1317 - SUPERMERCADO TAQUARA 29/08/2025 LQ 210,17 210,17"
"Pago título: 2500001935 3171 - ANDORINHA COMERCIO E 29/08/2025 LQ 210,15 210,15"
"Pago título: 2500001953 1198 - ZUCOLLORS INDUSTRIA 29/08/2025 LQ 205,37 205,37"
"Pago título: 2500001956 4056 - ASSOCIACAO DOS PROPR 29/08/2025 LQ 204,93 204,93"
"Pago título: 2500001965 2866 - CELSO LUIS BELLINI E 29/08/2025 LQ 203,41 203,41"
"Pago título: 2500001968 6912 - CPE PLASTICOS LTDA 29/08/2025 LQ 202,71 202,71"
"Pago título: 2500001977 1260 - TEXTIL BRASIL LTDA E 29/08/2025 LQ 201,41 201,41"
"Pago título: 2500002000 7867 - JRZ  SERRANO EMPREEN 29/08/2025 LQ 248,85 248,85"
"Pago título: 2500002012 3827 - STAVIAS SATANOSKI TE 29/08/2025 LQ 246,65 246,65"
"Pago título: 2500002016 1367 - ASSOCIACAO DE MELHOR 29/08/2025 LQ 245,19 245,19"
"Pago título: 2500002020 2749 - ASSOCIACAO MELHORAME 29/08/2025 LQ 245,06 245,06"
"Pago título: 2500002024 2051 - BISCOITONE INDUSTRIA 29/08/2025 LQ 244,19 244,19"
"Pago título: 2500002032 522 - CONDOMINIO RESIDENCIA 29/08/2025 LQ 241,13 241,13"
"Pago título: 2500002044 1892 - INBRA INDUSTRIAS QUI 29/08/2025 LQ 238,55 238,55"
"Pago título: 2500002048 1020 - CONDOMINIO RESIDENCI 29/08/2025 LQ 236,42 236,42"
"Pago título: 2500002052 4148 - CHRISTEYNS BRASIL PR 29/08/2025 LQ 236,04 236,04"
"Pago título: 2500002056 1092 - PREFEITURA MUNICIPAL 29/08/2025 LQ 235,89 235,89"
"Pago título: 2500002060 3162 - CONGE FRUTAS LTDA EP 29/08/2025 LQ 234,65 234,65"
"Pago título: 2500002072 7765 - ASS MOR DO LOTEAMENT 29/08/2025 LQ 234,21 234,21"
"Pago título: 2500002084 3771 - INDUSTRIA E COMERCIO 29/08/2025 LQ 233,04 233,04"
"Pago título: 2500002092 3288 - SELIAL IND E COM IMP 29/08/2025 LQ 231,87 231,87"
"Pago título: 2500002104 3927 - FLAMBOIA ALIMENTOS L 29/08/2025 LQ 230,55 230,55"
"Pago título: 2500002116 996 - AGROCERES MULTIMIX NU 29/08/2025 LQ 229,75 229,75"
"Pago título: 2500002124 450 - CONDOMINIO CHACARAS D 29/08/2025 LQ 229,09 229,09"
"Pago título: 2500002136 1597 - PREFEITURA MUNICIPAL 29/08/2025 LQ 226,29 226,29"
"Pago título: 2500002140 2594 - A A DE MELO  CIA LTD 29/08/2025 LQ 226,23 226,23"
"Pago título: 2500002184 6890 - SP TINTAS E COMERCIO 29/08/2025 LQ 219,58 219,58"
"Pago título: 2500002188 3733 - ASSOC PROPRIETARIOS 29/08/2025 LQ 219,58 219,58"
"Pago título: 2500002192 1204 - PLASCAR INDUSTRIA DE 29/08/2025 LQ 219,58 219,58"
"Pago título: 2500002196 5048 - CR2 EMPREENDIMENTOS 29/08/2025 LQ 219,58 219,58"
"Pago título: 2500002204 5390 - LOLLY BABY PRODUTOS 29/08/2025 LQ 219,58 219,58"
"Pago título: 2500002208 3726 - SATOSHI ITO E OUTROS 29/08/2025 LQ 219,58 219,58"
"Pago título: 2500002232 4976 - ASTRA SA INDUSTRIA E 29/08/2025 LQ 219,58 219,58"
"Pago título: 2500002268 5635 - RECAP CONSTRUTORA E 29/08/2025 LQ 216,57 216,57"
"Pago título: 2500002272 3325 - GOODMAN ITUPEVA EMPR 29/08/2025 LQ 215,84 215,84"
"Pago título: 2500002276 3819 - ASSOCIACAO ADMINISTR 29/08/2025 LQ 215,39 215,39"
"Pago título: 2500002280 3459 - JOFEGE CONCRETO LTDA 29/08/2025 LQ 215,36 215,36"
"Pago título: 2500002296 2833 - CONDAT LUBRIFICANTES 29/08/2025 LQ 214,4 214,4"
"Pago título: 2500002300 1967 - PLASTICOS SANTANA LT 29/08/2025 LQ 214,09 214,09"
"Pago título: 2500002324 5468 - LUCIANO TORELLI E CI 29/08/2025 LQ 211,76 211,76"
"Pago título: 2500002348 4835 - TRANSPORTES GABARDO 29/08/2025 LQ 210,79 210,79"
"Pago título: 2500002352 3946 - CAMPEAO 68 POSTO DE 29/08/2025 LQ 210,33 210,33"
"Pago título: 2500002364 1445 - SOCIEDADE DOS AMIGOS 29/08/2025 LQ 209,25 209,25"
"Pago título: 2500002368 7914 - TAUSTE SUPERMERCADOS 29/08/2025 LQ 209,16 209,16"
"Pago título: 2500002380 1228 - FERNANDES TEXTIL LTD 29/08/2025 LQ 207,5 207,5"
"Pago título: 2500002388 5517 - MUNICIPIO DE HORTOLA 29/08/2025 LQ 204,94 204,94"
"Pago título: 2500002400 4895 - VYLLA EMPREENDIMENTO 29/08/2025 LQ 204,94 204,94"
"Pago título: 2500002416 7092 - VF 11 PALMAS DO PAIO 29/08/2025 LQ 202,19 202,19"
"Pago título: 2500002428 7710 - WLM PART E COMERCIO 29/08/2025 LQ 201,28 201,28"
"Pago título: 2500002436 3856 - BRASPARK ADMINISTRAD 29/08/2025 LQ 201,02 201,02"
"Pago título: 2500002445 3098 - ASSOC DOS PROPR E MO 29/08/2025 LQ 239,48 239,48"
"Pago título: 2500002465 1774 - MINERACAO SAARA EXTR 29/08/2025 LQ 237,45 237,45"
"Pago título: 2500002470 4053 - ASSOCIACAO DOS PROPR 29/08/2025 LQ 237,14 237,14"
"Pago título: 2500002480 875 - RICHARD KLINGER INDUS 29/08/2025 LQ 234,73 234,73"
"Pago título: 2500002490 7294 - ASSOCIACAO DE PROPRI 29/08/2025 LQ 234,21 234,21"
"Pago título: 2500002500 3991 - HIGIBRAG TRANSPORTE 29/08/2025 LQ 234,21 234,21"
"Pago título: 2500002510 3615 - IMOBILIARIA HELVETIA 29/08/2025 LQ 234,21 234,21"
"Pago título: 2500002525 894 - DAUNE TRAVESSEIROS DE 29/08/2025 LQ 230,76 230,76"
"Pago título: 2500002560 3774 - ASSOCIACAO DOS PROP 29/08/2025 LQ 226,45 226,45"
"Pago título: 2500002570 890 - LABORATORIO TAYUYNA L 29/08/2025 LQ 224,46 224,46"
"Pago título: 2500002590 5773 - OWB INDUSTRIA DE AUT 29/08/2025 LQ 222,31 222,31"
"Pago título: 2500002600 7011 - JS ESPUMAS FLEXIVEIS 29/08/2025 LQ 221,17 221,17"
"Pago título: 2500002605 3608 - BIONOVIS SA  CIA BRA 29/08/2025 LQ 220,12 220,12"
"Pago título: 2500002610 3484 - CLUBE RECREATIVO SAO 29/08/2025 LQ 219,57 219,57"
"Pago título: 2500002630 969 - PRALANA INDUSTRIA E C 29/08/2025 LQ 217,75 217,75"
"Pago título: 2500002635 4327 - CEETEPSCENTRO ESTADU 29/08/2025 LQ 216,65 216,65"
"Pago título: 2500002645 2389 - JOFEGE CONCRETO LTDA 29/08/2025 LQ 215,7 215,7"
"Pago título: 2500002650 3984 - BELEM TRANSPORTES E 29/08/2025 LQ 215,61 215,61"
