"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72462382309202521215_id.ret"
""
"Cadastrado título novo: 9000008938 3022 - BORGWARNER BRASIL LT 30/09/2025 RG 624,94 0"
"Cadastrado título novo: 9000008939 3820 - ASSOCIACAO DE AMIGOS 30/09/2025 RG 1279,31 0"
"Cadastrado título novo: 9000008940 7873 - SAINT-GOBAIN DO BRAS 30/09/2025 RG 678,3 0"
"Pago título: 2500002201 1375 - IGREJA DO EVANGELHO 30/09/2025 LQ 219,58 219,58"
"Pago título: 2500002556 2719 - ETECNO EMPREENDIMENT 30/09/2025 LQ 227,17 227,17"
"Pago título: 2500003962 206 - ROUSSELOT GELATINAS D 30/09/2025 LQ 2226,34 2226,34"
"Pago título: 2500004473 472 - MESSER GASES LTDA 30/09/2025 LQ 1131,41 1131,41"
"Pago título: 2500005795 2590 - DIERBERGER OLEOS ESS 29/08/2025 LQ 475,75 489,22"
"Pago título: 2500006650 5802 - AGUAS DO BARREIRO RI 30/09/2025 LQ 334,59 334,59"
"Pago título: 2500006846 7194 - EMBAVI  EMPRESA BRAS 30/09/2025 LQ 313,68 313,68"
"Pago título: 2500006930 2165 - CONDOMINIO RESIDENCI 30/09/2025 LQ 305,94 305,94"
"Pago título: 2500007217 3053 - JR GOMES IMOBILIARIA 30/09/2025 LQ 271,86 271,86"
"Pago título: 2500007434 1564 - INDUSTRIA E COMERCIO 30/09/2025 LQ 248,63 248,63"
"Pago título: 9000008862 5607 - ASSOCIACAO DE MORADO 30/09/2025 LQ 332,29 332,29"
"Pago título: 9000008915 3617 - HOSPITAL SAMARITANO 30/09/2025 LQ 577,79 577,79"
