"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72462402409202521255_id.ret"
""
"Cadastrado título novo: 9000008941 7731 - ASSOC DOS MORADORES 30/09/2025 RG 707,37 0"
"Cadastrado título novo: 9000008942 3713 - RENATO THEODORO ELTI 30/09/2025 RG 995,9 0"
"Pago título: 2500002121 4407 - RODOPOSTO BANDEIRANT 30/09/2025 LQ 229,45 229,45"
"Pago título: 2500002305 2109 - CONDOMINIO RESIDENCI 30/09/2025 LQ 213,99 213,99"
"Pago título: 2500002409 949 - DANA INDUSTRIAS LTDA 30/09/2025 LQ 203,46 203,46"
"Pago título: 2500002621 4579 - ASSOCIACAO DE MORADO 30/09/2025 LQ 218,83 218,83"
"Pago título: 2500003226 5616 - TRADECORP DO BRASIL 30/09/2025 LQ 201,51 201,51"
"Pago título: 2500003238 286 - TFT TECIDOS E FIOS TE 30/09/2025 LQ 201,13 201,13"
"Pago título: 2500003465 1695 - GOODYEAR DO BRASIL P 30/09/2025 LQ 14585,72 14585,72"
"Pago título: 2500003731 7766 - AGROPECUARIA TUIUTI 30/09/2025 LQ 3712,5 3712,5"
"Pago título: 2500004396 3462 - CONDOMINIO EMPRESARI 30/09/2025 LQ 1236,2 1236,2"
"Pago título: 2500004739 558 - CONDOMINIO CENTRO EMP 30/09/2025 LQ 886,37 886,37"
"Pago título: 2500005061 392 - CONDOMINIO SHOPPING C 30/09/2025 LQ 723,15 723,15"
"Pago título: 2500005075 900 - DANA INDUSTRIAS LTDA 30/09/2025 LQ 717,38 717,38"
"Pago título: 2500005243 3383 - CENTRO EMPRESARIAL E 30/09/2025 LQ 635,11 635,11"
"Pago título: 2500005579 1829 - NHEEL QUIMICA LTDA 30/09/2025 LQ 535,12 535,12"
"Pago título: 2500005768 7887 - ASS MOR E PROP LOTES 30/09/2025 LQ 480,97 480,97"
"Pago título: 2500006181 7324 - THEIA EMPREENDIMENTO 30/09/2025 LQ 398,01 398,01"
"Pago título: 2500006237 2324 - BASF SA 30/09/2025 LQ 381,43 381,43"
"Pago título: 2500006461 3145 - RCL CAMPING E TURISM 30/09/2025 LQ 353,41 353,41"
"Pago título: 2500006699 3382 - CENTRO EMPRESARIAL E 30/09/2025 LQ 328,89 328,89"
"Pago título: 2500006727 3663 - ASSOCIACAO DOS ADQ L 30/09/2025 LQ 326,23 326,23"
"Pago título: 2500006804 5865 - CONDOMINIO VILLA UNI 30/09/2025 LQ 319,74 319,74"
"Pago título: 2500006944 2559 - CONDOMINIO RESIDENCI 30/09/2025 LQ 303,22 303,22"
"Pago título: 2500007112 523 - CONDOMINIO RESIDENCIA 30/09/2025 LQ 289,65 289,65"
"Pago título: 2500007980 6768 - CONDOMINIO RESIDENCI 30/09/2025 LQ 205,5 205,5"
"Pago título: 9000008560 5865 - CONDOMINIO VILLA UNI 30/09/2025 LQ 982,06 982,06"
"Pago título: 9000008786 933 - MIBA SINTER BRASIL LT 30/09/2025 LQ 1519,88 1519,88"
