"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72462442609202521437_id.ret"
""
"Cadastrado título novo: 9000008943 7758 - ASSOC DOS PROP DO LO 31/10/2025 RG 258,7 0"
"Cadastrado título novo: 9000008944 7758 - ASSOC DOS PROP DO LO 28/11/2025 RG 258,7 0"
"Cadastrado título novo: 9000008945 7758 - ASSOC DOS PROP DO LO 31/12/2025 RG 258,7 0"
"Cadastrado título novo: 9000008946 3803 - ASSOCIACAO ALPHAVILL 30/09/2025 RG 734,23 0"
"Cadastrado título novo: 9000008947 2947 - PEDREIRA E PAVIMENTA 30/09/2025 RG 617,66 0"
"Pago título: 2500002081 2657 - INDUSTRIAS NARDINI S 30/09/2025 LQ 234,07 234,07"
"Pago título: 2500002381 1228 - FERNANDES TEXTIL LTD 30/09/2025 LQ 207,5 207,5"
"Pago título: 2500003283 826 - DEPARTAMENTO AUTONOMO 30/09/2025 LQ 101727,34 101727,34"
"Pago título: 2500003836 2385 - SOLENIS ESPECIALIDAD 30/09/2025 LQ 2761,51 2761,51"
"Pago título: 2500004543 157 - CONDOMINIO TECH TOWN 30/09/2025 LQ 1046,48 1046,48"
"Pago título: 2500004599 892 - A AZEVEDO INDUSTRIA E 30/09/2025 LQ 1024,01 1024,01"
"Pago título: 2500005152 111 - ASSOCIACAO MORADORES 30/09/2025 LQ 669,18 669,18"
"Pago título: 2500005320 3032 - CONDOMINIO VILLAGE S 30/09/2025 LQ 614,81 614,81"
"Pago título: 2500005586 2889 - I  M PAPEIS E EMBALA 30/09/2025 LQ 529,65 529,65"
"Pago título: 2500005873 1148 - ARCELOR MITTAL GONVA 30/09/2025 LQ 450,46 450,46"
"Pago título: 2500006314 5035 - CLOSURE SYSTEMS INTE 30/09/2025 LQ 376,41 376,41"
"Pago título: 2500006587 3327 - INPAR PROJETO 86 SPE 30/09/2025 LQ 335,97 335,97"
"Pago título: 2500006762 1749 - USINA PAULISTA DE BR 30/09/2025 LQ 322,99 322,99"
"Pago título: 2500006769 3323 - HORTOLANDIA INCORPOR 30/09/2025 LQ 322,71 322,71"
"Pago título: 2500007119 3788 - TERRAS DE MONTE ALEG 30/09/2025 LQ 289,38 289,38"
"Pago título: 2500007266 5443 - ASSOC DOS PROP E MOR 30/09/2025 LQ 263,49 263,49"
"Pago título: 2500007630 3994 - ASSOCIACAO RESERVA D 30/09/2025 LQ 225,85 225,85"
"Pago título: 2500007805 3606 - ANTONIO CHAVES DOS S 30/09/2025 LQ 210,58 210,58"
"Pago título: 2500007987 5861 - ASSOCIACAO DESPORTIV 30/09/2025 LQ 204,69 204,69"
"Pago título: 9000008597 826 - DEPARTAMENTO AUTONOMO 30/09/2025 LQ 90000 90000"
"Pago título: 9000008789 506 - KLABIN S/A 30/09/2025 LQ 479,04 479,04"
"Pago título: 9000008793 7648 - MARCOS MONTANARO 30/09/2025 LQ 1076,84 1076,84"
"Pago título: 9000008796 2822 - JOFEGE CONCRETO LTDA 30/09/2025 LQ 931,44 931,44"
"Pago título: 9000008914 3788 - TERRAS DE MONTE ALEG 30/09/2025 LQ 903,35 903,35"
"Pago título: 9000008916 2347 - LAVANDERIA LUGATI LT 30/09/2025 LQ 561,72 561,72"
"Pago título: 9000008940 7873 - SAINT-GOBAIN DO BRAS 30/09/2025 LQ 678,3 678,3"
