"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72462462909202522306_id.ret"
""
"Cadastrado título novo: 9000008948 4783 - CORREIAS MERCURIO S/ 31/10/2025 RG 767,46 0"
"Cadastrado título novo: 9000008949 7309 - PROJESAN SANEMENTO A 31/10/2025 RG 1207,75 0"
"Cadastrado título novo: 9000008950 3803 - ASSOCIACAO ALPHAVILL 31/10/2025 RG 741,57 0"
"Pago título: 2500002017 1367 - ASSOCIACAO DE MELHOR 30/09/2025 LQ 245,19 245,19"
"Pago título: 2500002213 4650 - ABATEDOURO DE AVES I 30/09/2025 LQ 219,58 219,58"
"Pago título: 2500002217 3298 - ASSOC DO CONJUNTO RE 30/09/2025 LQ 219,58 219,58"
"Pago título: 2500002285 4534 - CONDOMINIO CIVIL CEN 30/09/2025 LQ 215,11 215,11"
"Pago título: 2500002293 3968 - EATON LTDA 30/09/2025 LQ 214,89 214,89"
"Pago título: 2500002329 3150 - QUARTZO MINERACAO LT 30/09/2025 LQ 211,76 211,76"
"Pago título: 2500002566 5352 - CONDOMINIO RESIDENCI 30/09/2025 LQ 225,43 225,43"
"Pago título: 2500002616 1832 - LANMAR INDUSTRIA MET 30/09/2025 LQ 219,33 219,33"
"Pago título: 2500002686 4973 - ASSOCIACAO DOS PROPR 30/09/2025 LQ 210,79 210,79"
"Pago título: 2500002761 1192 - SECRETARIA DA ADMINI 30/09/2025 LQ 204,37 204,37"
"Pago título: 2500002806 4135 - ALCEBIADES FERREIRA 30/09/2025 LQ 232,66 232,66"
"Pago título: 2500002920 1113 - PPC SANTANA EQUIPAME 30/09/2025 LQ 223,29 223,29"
"Pago título: 2500002926 4829 - CLUBE RECREATIVO SUM 30/09/2025 LQ 222,02 222,02"
"Pago título: 2500003022 3594 - CPM CONCRETO DE PRE 30/09/2025 LQ 218,04 218,04"
"Pago título: 2500003166 14 - BORGWARNER INDUSTRIA E 30/09/2025 LQ 206,43 206,43"
"Pago título: 2500003220 5608 - ASSOCIACAO DE MORADO 30/09/2025 LQ 202,01 202,01"
"Pago título: 2500003256 3022 - BORGWARNER BRASIL LT 30/09/2025 LQ 200,21 200,21"
"Pago título: 2500003500 920 - ELEKEIROZ SA 30/09/2025 LQ 10194,03 10194,03"
"Pago título: 2500003556 417 - EMBRAMACO EMPRESA BRA 30/09/2025 LQ 8024,02 8024,02"
"Pago título: 2500003577 1110 - SERVICO AUTONOMO DE 30/09/2025 LQ 7567,08 7567,08"
"Pago título: 2500003703 1405 - ASSOCIACAO LOTEAMENT 30/09/2025 LQ 4031,76 4031,76"
"Pago título: 2500003920 3384 - FRIGODELISS LTDA 30/09/2025 LQ 2345,09 2345,09"
"Pago título: 2500003941 1743 - EDSON CHINARELLI TRA 30/09/2025 LQ 2241,76 2241,76"
"Pago título: 2500003976 7298 - J ANDRADE EMPREENDIM 30/09/2025 LQ 2196,65 2196,65"
"Pago título: 2500004130 559 - BENEFICIADORA DE TECI 30/09/2025 LQ 1773,4 1773,4"
