"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72462483009202521607_id.ret"
""
"Cadastrado título novo: 9000008951 555 - UNIMED COOPERATIVA CE 31/10/2025 RG 403,96 0"
"Pago título: 2500002001 7867 - JRZ  SERRANO EMPREEN 30/09/2025 LQ 248,85 248,85"
"Pago título: 2500002013 3827 - STAVIAS SATANOSKI TE 30/09/2025 LQ 246,65 246,65"
"Pago título: 2500002021 2749 - ASSOCIACAO MELHORAME 30/09/2025 LQ 245,06 245,06"
"Pago título: 2500002025 2051 - BISCOITONE INDUSTRIA 30/09/2025 LQ 244,19 244,19"
"Pago título: 2500002029 7758 - ASSOC DOS PROP DO LO 30/09/2025 LQ 243,73 243,73"
"Pago título: 2500002033 522 - CONDOMINIO RESIDENCIA 30/09/2025 LQ 241,13 241,13"
"Pago título: 2500002045 1892 - INBRA INDUSTRIAS QUI 30/09/2025 LQ 238,55 238,55"
"Pago título: 2500002049 1020 - CONDOMINIO RESIDENCI 30/09/2025 LQ 236,42 236,42"
"Pago título: 2500002053 4148 - CHRISTEYNS BRASIL PR 30/09/2025 LQ 236,04 236,04"
"Pago título: 2500002057 1092 - PREFEITURA MUNICIPAL 30/09/2025 LQ 235,89 235,89"
"Pago título: 2500002061 3162 - CONGE FRUTAS LTDA EP 30/09/2025 LQ 234,65 234,65"
"Pago título: 2500002073 7765 - ASS MOR DO LOTEAMENT 30/09/2025 LQ 234,21 234,21"
"Pago título: 2500002085 3771 - INDUSTRIA E COMERCIO 30/09/2025 LQ 233,04 233,04"
"Pago título: 2500002093 3288 - SELIAL IND E COM IMP 30/09/2025 LQ 231,87 231,87"
"Pago título: 2500002105 3927 - FLAMBOIA ALIMENTOS L 30/09/2025 LQ 230,55 230,55"
"Pago título: 2500002113 1478 - ARGIPAR ARGILA PARTE 30/09/2025 LQ 230,55 230,55"
"Pago título: 2500002117 996 - AGROCERES MULTIMIX NU 30/09/2025 LQ 229,75 229,75"
"Pago título: 2500002125 450 - CONDOMINIO CHACARAS D 30/09/2025 LQ 229,09 229,09"
"Pago título: 2500002137 1597 - PREFEITURA MUNICIPAL 30/09/2025 LQ 226,29 226,29"
"Pago título: 2500002141 2594 - A A DE MELO  CIA LTD 30/09/2025 LQ 226,23 226,23"
"Pago título: 2500002185 6890 - SP TINTAS E COMERCIO 30/09/2025 LQ 219,58 219,58"
"Pago título: 2500002189 3733 - ASSOC PROPRIETARIOS 30/09/2025 LQ 219,58 219,58"
"Pago título: 2500002193 1204 - PLASCAR INDUSTRIA DE 30/09/2025 LQ 219,58 219,58"
"Pago título: 2500002197 5048 - CR2 EMPREENDIMENTOS 30/09/2025 LQ 219,58 219,58"
"Pago título: 2500002205 5390 - LOLLY BABY PRODUTOS 30/09/2025 LQ 219,58 219,58"
"Pago título: 2500002209 3726 - SATOSHI ITO E OUTROS 30/09/2025 LQ 219,58 219,58"
"Pago título: 2500002221 5621 - CENTERANEL 1 PARTICI 30/09/2025 LQ 219,58 219,58"
"Pago título: 2500002233 4976 - ASTRA SA INDUSTRIA E 30/09/2025 LQ 219,58 219,58"
